Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
whz,66.1,Female,66.1_2,6.954848289,0.101939776,-0.068602089,5.703030003,5.886844124,6.493770484,6.954848289,7.451080223,8.232476365,8.504702274
whz,66.2,Female,66.2_2,6.976362538,0.101835607,-0.068863389,5.721853407,5.906076285,6.514317956,6.976362538,7.473606553,8.256542317,8.529290321
whz,66.3,Female,66.3_2,6.997940881,0.101731224,-0.069124688,5.740739193,5.92537118,6.534929072,6.997940881,7.496197247,8.280672654,8.553942653
whz,66.4,Female,66.4_2,7.019582748,0.101626671,-0.069385988,5.75968646,5.944727952,6.555603128,7.019582748,7.518851896,8.304867247,8.578659246
whz,66.5,Female,66.5_2,7.041287571,0.101521993,-0.069647287,5.778694292,5.964145727,6.576339415,7.041287571,7.5415701,8.32912599,8.603440105
whz,66.6,Female,66.6_2,7.063054778,0.101417232,-0.069908586,5.797761796,5.983623653,6.597137231,7.063054778,7.56435144,8.353448739,8.628285188
whz,66.7,Female,66.7_2,7.084883802,0.101312433,-0.070169885,5.816888042,6.003160847,6.617995863,7.084883802,7.587195524,8.377835404,8.65319452
whz,66.8,Female,66.8_2,7.106774071,0.101207639,-0.070431184,5.836072115,6.022756434,6.638914597,7.106774071,7.610101946,8.402285869,8.678168094
whz,66.9,Female,66.9_2,7.128725017,0.101102894,-0.070692483,5.85531308,6.04240953,6.65989272,7.128725017,7.633070311,8.426800045,8.703205936
whz,67,Female,67_2,7.15073607,0.100998241,-0.070953781,5.874610009,6.062119249,6.680929516,7.15073607,7.656100222,8.451377834,8.72830806
whz,67.1,Female,67.1_2,7.172806661,0.100893723,-0.071215079,5.893961967,6.081884704,6.702024268,7.172806661,7.679191283,8.476019147,8.753474492
whz,67.2,Female,67.2_2,7.194936219,0.100789382,-0.071476378,5.913368021,6.101705009,6.723176259,7.194936219,7.702343096,8.500723887,8.778705247
whz,67.3,Female,67.3_2,7.217124175,0.100685262,-0.071737676,5.932827211,6.121579252,6.744384764,7.217124175,7.725555278,8.525491992,8.804000385
whz,67.4,Female,67.4_2,7.23936996,0.100581404,-0.071998974,5.952338604,6.141506548,6.765649065,7.23936996,7.748827432,8.550323369,8.829359925
whz,67.5,Female,67.5_2,7.261673004,0.100477852,-0.072260272,5.971901225,6.161485973,6.786968431,7.261673004,7.77215918,8.575217972,8.854783948
whz,67.6,Female,67.6_2,7.284032738,0.100374646,-0.07252157,5.991514139,6.181516639,6.808342145,7.284032738,7.795550126,8.600175708,8.880272472
whz,67.7,Female,67.7_2,7.306448591,0.10027183,-0.072782868,6.011176356,6.201597611,6.829769468,7.306448591,7.818999896,8.625196546,8.905825594
whz,67.8,Female,67.8_2,7.328919994,0.100169445,-0.073044165,6.030886916,6.221727978,6.851249675,7.328919994,7.842508107,8.650280422,8.93144337
whz,67.9,Female,67.9_2,7.351446379,0.100067532,-0.073305463,6.050644853,6.241906825,6.872782037,7.351446379,7.866074377,8.675427282,8.957125869
whz,68,Female,68_2,7.374026742,0.099966128,-0.07356676,6.070448882,6.262132902,6.894365435,7.374026742,7.889697842,8.700636505,8.982872561
whz,68.1,Female,68.1_2,7.396657696,0.099865235,-0.073828058,6.090296161,6.282403287,6.915996681,7.396657696,7.9133749,8.725904159,9.008679402
whz,68.2,Female,68.2_2,7.419335028,0.099764847,-0.074089355,6.110183259,6.302714434,6.937671852,7.419335028,7.937101027,8.751225226,9.034541199
whz,68.3,Female,68.3_2,7.442054526,0.099664957,-0.074350652,6.130106756,6.323062808,6.959387028,7.442054526,7.960871695,8.776594673,9.060452744
whz,68.4,Female,68.4_2,7.464811978,0.099565557,-0.07461195,6.150063243,6.343444881,6.981138295,7.464811978,7.984682368,8.80200746,9.086408818
whz,68.5,Female,68.5_2,7.487603173,0.099466641,-0.074873247,6.170049285,6.363857107,7.002921728,7.487603173,8.008528528,8.827458574,9.112404238
whz,68.6,Female,68.6_2,7.510423899,0.0993682,-0.075134544,6.190061481,6.384295964,7.024733415,7.510423899,8.032405637,8.852942964,9.13843377
